,url,text,stand,zuständig,geschäftsart,status
980,/gast/geschaefte/311,Rechenschaftsbericht des Regierungsrates für das Jahr 2010,Datenmigration,,Verschiedenes,abgeschlossen
981,/gast/geschaefte/310,Jahresrechnung 2010 des Kantons Zug,Datenmigration,,Verschiedenes,abgeschlossen
982,/gast/geschaefte/309,"Motion von Thomas Lötscher, Philippe Camenisch, Daniel Abt und Daniel Thomas Burch betreffend Noven im Verwaltungsgerichtsbeschwerdeverfahren",Datenmigration,,Motion,abgeschlossen
983,/gast/geschaefte/308,Motion von Beni Riedi betreffend Änderung des Schulgesetzes,Datenmigration,,Motion,abgeschlossen
984,/gast/geschaefte/307,"Interpellation der SP-Fraktion betreffend ""Zug schweizweit auf den hinteren Rängen beim frei verfügbaren Einkommen""",Datenmigration,,Interpellation,abgeschlossen
985,/gast/geschaefte/306,Interpellation von Daniel Stadlin betreffend Finanzausgleich unter den Einwohnergemeinden und der Beteiligung der Einwohnergemeinden am interkantonalen Finanzausgleich,Datenmigration,,Interpellation,abgeschlossen
986,/gast/geschaefte/305,Kantonsratsbeschluss betreffend Projektierungskredit für die Planung von Neubauten für die Verwaltung und Gerichte des Kantons Zug und die Zugerland Verkehrsbetriebe AG auf dem Areal An der Aa in Zug,Genehmigung Schlussabrechnung pendent,Baudirektion,Kantonsratsbeschluss (referendumsfähig),hängig
987,/gast/geschaefte/304,"Interpellation von Manuel Brandenberg, Philip C. Brunner, Thomas Wyss, Werner Villiger, André Wicki, Daniel Eichenberger, Beni Riedi, Manuel Aeschbacher, Thomas Werner, Daniel Burch und Matthias Werder betreffend Rückzug des EU-Beitrittsgesuches",Datenmigration,,Interpellation,abgeschlossen
988,/gast/geschaefte/303,Motion von Gregor Kupper betreffend Abkürzung der Frist zwischen der ersten und der zweiten Lesung bei der Beratung von Gesetzen,Nicht-Erheblicherklärung,Sicherheitsdirektion,Motion,abgeschlossen
989,/gast/geschaefte/302,"Übernahme von Forderungen aus der obligatorischen Krankenpflegeversicherung (Änderung des EG BG über die Krankenversicherung, des Gesetzes betr. individuelle Prämienverbilligung in der Krankenpflegeversicherung und des Steuergesetzes)",Datenmigration,,Gesetz,abgeschlossen
